# t (s)	mx ()	my ()	mz ()
0	0.07071069	0.07071069	-0.02
1.0414439240441135e-12	0.0730509	0.07299084	-0.01876039
2.067195419818302e-12	0.075004406	0.073545545	-0.01714104
3.1005087067556072e-12	0.07897382	0.07568581	-0.015936684
4.025851215940235e-12	0.084269464	0.078977846	-0.014831016
5.037881264030735e-12	0.09138138	0.083565265	-0.013496359
6.054406606974375e-12	0.099528424	0.08896809	-0.011970999
7.087432411315214e-12	0.108570285	0.095169745	-0.010176365
8.030989093923246e-12	0.117280215	0.10144769	-0.0083014965
9.090455206574413e-12	0.12725013	0.108867906	-0.005955858
1.0059787909050415e-11	0.13628404	0.115213364	-0.0033748664
1.1047511879203109e-11	0.1453074	0.12233325	-0.00083303597
1.2051223275080284e-11	0.15419994	0.13048714	0.0024539274
1.3073549849131004e-11	0.16262935	0.13839537	0.005902972
1.4078974958836245e-11	0.17012353	0.14483827	0.009313366
1.505999421300897e-11	0.17647086	0.15034173	0.013156581
1.6024765437796346e-11	0.18178879	0.15538386	0.017058974
1.7000043406180098e-11	0.18625076	0.16015618	0.02104907
1.809463246527771e-11	0.19018327	0.16509217	0.025652496
1.9087635681172023e-11	0.19278511	0.1690701	0.02997239
2.0083098375223406e-11	0.19453415	0.17267628	0.034190148
2.1090391869112796e-11	0.1947284	0.17514716	0.03863872
2.2112545905903786e-11	0.19441399	0.17763565	0.042755134
2.3037621516834653e-11	0.19253828	0.17777131	0.04683432
2.410075067542474e-11	0.18965632	0.1773082	0.05068875
2.5066318117997955e-11	0.18591034	0.17660941	0.054367453
2.6045610204328855e-11	0.18029168	0.17456101	0.05767087
2.7054856570565335e-11	0.17382658	0.17207004	0.06064945
2.8080626510823214e-11	0.16666041	0.16814223	0.06362903
2.9000189236812558e-11	0.15985751	0.16308749	0.06609174
3.0060343759497944e-11	0.15169454	0.15600857	0.06851374
3.1121960324180805e-11	0.14306885	0.14812982	0.07080687
3.204904299220337e-11	0.13530149	0.1409929	0.072568305
3.310501987861825e-11	0.12639655	0.13269845	0.07466062
3.403154944069226e-11	0.118431196	0.12509884	0.076100625
3.5086366788642385e-11	0.10972917	0.116155036	0.0779293
3.602530144274809e-11	0.10251006	0.1082575	0.07964395
3.710206349903446e-11	0.09548132	0.099569	0.08134142
3.803919856335317e-11	0.0903894	0.09252545	0.08296831
3.9132992066703405e-11	0.085517295	0.084733084	0.08475558
4.00984618750521e-11	0.0822822	0.0782725	0.08638397
4.106329767718344e-11	0.08025075	0.07282173	0.08812088
4.2046865615856974e-11	0.07945873	0.067997225	0.09001295
4.306587001932479e-11	0.080488175	0.064505465	0.091846205
4.409791711244944e-11	0.08299572	0.061861876	0.093783945
4.513219069033879e-11	0.08720668	0.061286524	0.0957762
4.6029415660214445e-11	0.091642685	0.0615736	0.09783449
4.708801325071771e-11	0.0982552	0.063949354	0.10014417
4.813961032438478e-11	0.10581021	0.06735756	0.10280146
4.90567176168099e-11	0.1132065	0.071252316	0.10505158
5.010954107075503e-11	0.12241604	0.077616334	0.10776115
5.101482012950047e-11	0.13035029	0.08395495	0.11033885
5.2107779163095465e-11	0.13997291	0.09270853	0.11351511
5.305958680390434e-11	0.14825751	0.10179099	0.11633268
5.401656580807775e-11	0.156203	0.111471415	0.11947456
5.5136883452931126e-11	0.16478412	0.12273697	0.12302221
